"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc","automaton"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","cd.seminator.no","ok",0,0.0291519,4,9,63,1,3,2,1,0,800,16626,3,"HOA: v1 States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""{0}"" [1 | !3] 0 [!1&3] 1 [0&!1&2&3] 2 State: 1 ""{02}"" [1] 0 [!1] 1 [0&!1&2] 2 State: 2 ""1"" [0&!1] 2 {0} [1] 3 State: 3 ""3"" [t] 3 {0} --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","cd.cy.yes","ok",0,0.238267,4,9,63,1,3,2,1,0,800,16626,3,"HOA: v1 States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [1 | !3] 0 [!1&3] 1 [0&!1&2&3] 2 State: 1 [1] 0 [!1] 1 [0&!1&2] 2 State: 2 [0&!1] 2 {0} [1] 3 State: 3 [t] 3 {0} --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","sd.nba2ldba.yes","ok",0,0.365741,4,8,54,1,4,2,1,0,800,14233,7,"HOA: v1 States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [t] 0 [!1&3] 1 [0&!1&2&3] 2 State: 1 [!1&!3] 1 [0&!1&2&!3] 2 State: 2 [0&!1] 2 {0} [1] 3 State: 3 [t] 3 {0} --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","sd.ltl2ldba.no","ok",0,0.734689,8,79,134,1,7,3,1,0,1589,35047,33,"HOA: v1 States: 8 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1&!2&!3] 0 [!0&!1&!2&3] 2 [!0&!1&!2&3] 0 [!0&1&!2&!3] 0 [!0&1&!2&3] 0 [!0&!1&2&!3] 0 [!0&!1&2&3] 2 [!0&!1&2&3] 0 [!0&1&2&!3] 0 [!0&1&2&3] 0 [0&!1&!2&!3] 0 [0&!1&!2&3] 2 [0&!1&!2&3] 0 [0&1&!2&!3] 0 [0&1&!2&3] 0 [0&!1&2&!3] 0 [0&!1&2&3] 3 [0&!1&2&3] 2 [0&!1&2&3] 0 [0&1&2&!3] 0 [0&1&2&3] 0 [!0&!1&!2&!3] 4 [!0&!1&!2&3] 4 [!0&!1&!2&3] 5 [!0&1&!2&!3] 4 [!0&1&!2&3] 4 [!0&!1&2&!3] 4 [!0&!1&2&3] 4 [!0&!1&2&3] 5 [!0&1&2&!3] 4 [!0&1&2&3] 4 [0&!1&!2&!3] 4 [0&!1&!2&3] 4 [0&!1&!2&3] 5 [0&1&!2&!3] 4 [0&1&!2&3] 4 [0&!1&2&!3] 4 [0&!1&2&3] 6 [0&!1&2&3] 4 [0&!1&2&3] 5 [0&1&2&!3] 4 [0&1&2&3] 4 State: 1 [t] 1 {0} State: 2 [!0&!1&!2] 2 [!0&!1&2] 2 [0&!1&!2] 2 [0&!1&2] 3 [0&!1&2] 2 [!0&!1&!2] 5 [!0&!1&2] 5 [0&!1&!2] 5 [0&!1&2] 6 [0&!1&2] 5 State: 3 [1] 1 {0} [0&!1] 3 [0&!1] 6 State: 4 [!0&1&!2&!3] 4 [!0&1&!2&3] 4 [!0&1&2&!3] 4 [!0&1&2&3] 4 [0&!1&!2&!3] 4 [0&!1&!2&3] 7 [0&1&!2&!3] 4 [0&1&!2&3] 4 [0&!1&2&!3] 4 [0&!1&2&3] 6 {0} [0&1&2&!3] 4 [0&1&2&3] 4 State: 5 [0&!1&!2] 5 [0&!1&2] 6 {0} State: 6 [!0&1] 6 {0} [0&!1] 6 {0} [0&1] 6 {0} State: 7 [!0&1&!2] 4 [!0&1&2] 4 [0&!1&!2] 7 [0&1&!2] 4 [0&!1&2] 6 {0} [0&1&2] 4 --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","sd.seminator.yes","ok",0,0.0332789,4,8,54,1,4,2,1,0,800,14233,7,"HOA: v1 States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic stutter-invariant inherently-weak --BODY-- State: 0 [t] 0 [0&!1&2&3] 1 [!1&3] 2 State: 1 [0&!1] 1 {0} [1] 3 State: 2 [0&!1&2&!3] 1 [!1&!3] 2 State: 3 [t] 3 {0} --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","sd.seminator.no","ok",0,0.0321745,4,8,54,1,4,2,1,0,800,14233,7,"HOA: v1 States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic stutter-invariant inherently-weak --BODY-- State: 0 [t] 0 [0&!1&2&3] 1 [!1&3] 2 State: 1 [0&!1] 1 {0} [1] 3 State: 2 [0&!1&2&!3] 1 [!1&!3] 2 State: 3 [t] 3 {0} --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","cd.seminator.yes","ok",0,0.0288923,4,9,63,1,3,2,1,0,800,16626,3,"HOA: v1 States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [1 | !3] 0 [!1&3] 1 [0&!1&2&3] 2 State: 1 [1] 0 [!1] 1 [0&!1&2] 2 State: 2 [0&!1] 2 {0} [1] 3 State: 3 [t] 3 {0} --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","cd.ltl2ldba.yes","ok",0,0.793683,7,25,140,1,4,3,1,0,1400,36980,15,"HOA: v1 States: 7 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [1 | !3] 0 [0&!1&2&3] 2 [!0&!1&3 | !1&!2&3] 3 [!0&!1&3 | !1&!2&3] 4 [0&!1&2&3] 5 [1 | !3] 6 State: 1 {0} [t] 1 State: 2 [1] 1 [0&!1] 2 [!0&!1] 3 [!0&!1] 4 [0&!1] 5 State: 3 [1] 0 [0&!1&2] 2 [!0&!1 | !1&!2] 3 [!0&!1 | !1&!2] 4 [0&!1&2] 5 [1] 6 State: 4 [0&!1&!2] 4 [0&!1&2] 5 [1] 6 State: 5 {0} [0 | 1] 5 State: 6 [0&!1&!2&3] 4 [0&!1&2&3] 5 [0&!3 | 1] 6 --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","sd.cy.no","ok",0,0.0298751,4,8,54,1,4,2,1,0,800,14233,7,"HOA: v1 States: 4 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant inherently-weak --BODY-- State: 0 [t] 0 [0&!1&2&3] 1 [!1&3] 2 State: 1 {0} [0&!1] 1 [1] 3 State: 2 [0&!1&2&!3] 1 [!1&!3] 2 State: 3 {0} [t] 3 --END--"
"F((a) & ((!(d)) U ((b) & (!(d)) & ((d) R ((c) | (d))))))","sd.ltl2ldba.yes","ok",0,0.77743,7,16,89,1,7,2,1,0,1400,23472,434,"HOA: v1 States: 7 Start: 0 AP: 4 ""c"" ""d"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [t] 0 [!1&3] 2 [0&!1&2&3] 3 [!0 | 1 | !2 | !3] 4 [!0&!1&3 | !1&!2&3] 5 [0&!1&2&3] 6 State: 1 {0} [t] 1 State: 2 [!1&!3] 2 [0&!1&2&!3] 3 [!0&!1&!3 | !1&!2&!3] 5 [0&!1&2&!3] 6 State: 3 [1] 1 [0&!1&!2] 3 State: 4 [0&!1&2&3] 6 State: 5 [0&!1&2&!3] 6 State: 6 {0} [0 | 1] 6 --END--"
