"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc","automaton"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","sd.seminator.yes","ok",0,0.029979,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 2 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant weak --BODY-- State: 0 [0] 0 [!0] 1 State: 1 {0} [t] 1 State: 2 [!0&!1&2] 1 [0&!1&2] 3 State: 3 {0} [0&1 | 0&!2] 0 [!0] 1 [0&!1&2] 3 --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","cd.2-step.yes","ok",0,0.0237051,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 2 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant weak --BODY-- State: 0 [0] 0 [!0] 1 State: 1 {0} [t] 1 State: 2 [!0&!1&2] 1 [0&!1&2] 3 State: 3 {0} [0&1 | 0&!2] 0 [!0] 1 [0&!1&2] 3 --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","sd.ltl2ldba.no","ok",0,0.746206,5,16,52,1,5,3,1,0,784,11550,19,"HOA: v1 States: 6 Start: 1 AP: 4 ""b"" ""d"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1&2&3] 2 {0} [0&!1&2&3] 4 [0&!1&2&3] 3 [0&!1&2&3] 5 State: 1 [!0&!1&2&!3] 2 {0} [0&!1&2&!3] 4 [0&!1&2&!3] 3 [0&!1&2&!3] 5 [!0&!1&2&3] 2 [0&!1&2&3] 4 [0&!1&2&3] 3 [0&!1&2&3] 5 State: 2 [t] 2 {0} State: 3 [!0&!1&2] 2 {0} [0&!1&2] 4 [0&!1&2] 3 [0&!1&2] 5 State: 4 [!0] 2 {0} [0] 4 State: 5 [!1&2] 5 {0} --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","cd.ltl2ldba.no","ok",0,0.74306,5,13,60,1,5,2,1,0,784,13941,19,"HOA: v1 States: 5 Start: 0 AP: 4 ""b"" ""d"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1&2] 2 {0} [0&!1&2] 1 [0&!1&2] 4 State: 1 [!0] 2 {0} [0&!1&!2] 3 [0&!1&2] 1 [0&1&!2] 3 [0&1&2] 3 [0&!1&2] 4 State: 2 [t] 2 {0} State: 3 [!0] 2 {0} [0] 3 State: 4 [!1&2] 4 {0} --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","sd.nba2ldba.yes","ok",0,0.30668,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 2 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 [0] 0 [!0] 1 State: 1 {0} [t] 1 State: 2 [!0&!1&2] 1 [0&!1&2] 3 State: 3 {0} [0&1 | 0&!2] 0 [!0] 1 [0&!1&2] 3 --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","sd.2-step.yes","ok",0,0.0240843,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 2 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant weak --BODY-- State: 0 [0] 0 [!0] 1 State: 1 {0} [t] 1 State: 2 [!0&!1&2] 1 [0&!1&2] 3 State: 3 {0} [0&1 | 0&!2] 0 [!0] 1 [0&!1&2] 3 --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","cd.2-step.no","ok",0,0.0195908,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 2 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant weak --BODY-- State: 0 [0] 0 [!0] 1 State: 1 {0} [t] 1 State: 2 [!0&!1&2] 1 [0&!1&2] 3 State: 3 {0} [0&1 | 0&!2] 0 [!0] 1 [0&!1&2] 3 --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","sd.2-step.no","ok",0,0.027346,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 2 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant weak --BODY-- State: 0 [0] 0 [!0] 1 State: 1 {0} [t] 1 State: 2 [!0&!1&2] 1 [0&!1&2] 3 State: 3 {0} [0&1 | 0&!2] 0 [!0] 1 [0&!1&2] 3 --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","sd.seminator.no","ok",0,0.0230262,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 2 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant weak --BODY-- State: 0 [0] 0 [!0] 1 State: 1 {0} [t] 1 State: 2 [!0&!1&2] 1 [0&!1&2] 3 State: 3 {0} [0&1 | 0&!2] 0 [!0] 1 [0&!1&2] 3 --END--"
"((a) & (((a) & ((F(!(b))) R ((c) & (!(d))))) | ((!(a)) & ((G(b)) U ((!(c)) | (d)))))) | ((!(a)) & (((a) & ((G(b)) U ((!(c)) | (d)))) | ((!(a)) & ((F(!(b))) R ((c) & (!(d)))))))","sd.nba2ldba.no","ok",0,0.282962,4,8,26,1,4,0,0,0,584,12351,18,"HOA: v1 States: 4 Start: 0 AP: 3 ""b"" ""d"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 [!0&!1&2] 2 [0&!1&2] 3 State: 1 [0] 1 [!0] 2 State: 2 {0} [t] 2 State: 3 {0} [0&1 | 0&!2] 1 [!0] 2 [0&!1&2] 3 --END--"
